Month,Transaction,Smartcard.Type,Action.Reason,Number.of.transactions
2014-12,Replace Smartcard,Driver Licence Card,Stolen,992
2014-12,Replace Smartcard,Photo Identification Card,Stolen,70
2014-12,Replace Smartcard,Driver Licence Card,Defective,8
2015-01,Replace Smartcard,Driver Licence Card,Stolen,1062
2015-01,Replace Smartcard,Driver Licence Card,Faulty,131
2015-01,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,16
2015-01,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,22
2015-02,Replace Smartcard,Industry Authority Card,Stolen,11
2015-02,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,17
2015-02,Replace Smartcard,Driver Licence Card,Destroyed,55
2015-02,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,5
2015-02,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,9
2015-02,Replace Smartcard,Marine Licence Ind Card,Lost,5
2015-02,Replace Smartcard,Driver Licence Card,Disaster Relief,2
2015-03,Replace Smartcard,Photo Identification Card,Lost,478
2015-04,Replace Smartcard,Driver Licence Card,Faulty,113
2015-04,Replace Smartcard,Driver Licence Card,Destroyed,68
2015-04,Replace Smartcard,Industry Authority Card,Condition Change,5
2015-04,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,3
2015-04,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2015-05,Replace Smartcard,Photo Identification Card,Lost,428
2015-05,Replace Smartcard,Photo Identification Card,Change Customer Details,167
2015-05,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,12
2015-05,Replace Smartcard,Driver Licence Card,Destroyed,78
2015-05,Replace Smartcard,Industry Authority Card,Change Customer Details,19
2015-05,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,38
2015-06,Replace Smartcard,Driver Licence Card,Condition Change,2334
2015-06,Replace Smartcard,Driver Licence Card,Change Customer Details,2184
2015-06,Replace Smartcard,Driver Licence Card,Stolen,1051
2015-06,Replace Smartcard,Photo Identification Card,Change Customer Details,188
2015-06,Replace Smartcard,Photo Identification Card,Lost,434
2015-06,Replace Smartcard,Driver Licence Card,Damaged,76
2015-06,Replace Smartcard,Industry Authority Card,Change Customer Details,27
2015-06,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,24
2015-06,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,3
2021-01,Replace Smartcard,Marine Licence Ind Card,Condition Change,2
2021-01,Replace Smartcard,Marine Licence Ind Card,Managers Approval,5
2015-07,Replace Smartcard,Photo Identification Card,Stolen,105
2015-07,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,19
2015-06,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2021-02,Replace Smartcard,Photo Identification Card,Stolen,58
2021-02,Replace Smartcard,Industry Authority Card,Lost,30
2021-02,Replace Smartcard,Photo Identification Card,Managers Approval,28
2021-02,Replace Smartcard,Driver Licence Card,Merged,4
2021-02,Replace Smartcard,Photo Identification Card,Faulty,4
2021-02,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,1
2015-08,Replace Smartcard,Driver Licence Card,Faulty,86
2015-08,Replace Smartcard,Driver Licence Card,Damaged,70
2021-03,Replace Smartcard,Driver Licence Card,Condition Change,3976
2021-03,Replace Smartcard,Photo Identification Card,Stolen,90
2021-03,Replace Smartcard,Driver Licence Card,Faulty,24
2021-03,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,90
2021-03,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2015-09,Replace Smartcard,Marine Licence Ind Card,Lost,6
2015-09,Replace Smartcard,Industry Authority Card,Stolen,12
2015-09,Replace Smartcard,Driver Licence Card,Destroyed,86
2015-09,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,26
2015-09,Replace Smartcard,Photo Identification Card,Merged,1
2015-10,Replace Smartcard,Marine Licence Ind Card,Managers Approval,8
2015-10,Replace Smartcard,Industry Authority Card,Change Customer Details,26
2015-10,Replace Smartcard,Photo Identification Card,Change Customer Details,208
2015-10,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,12
2015-10,Replace Smartcard,Photo Identification Card,Managers Approval,23
2015-10,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,19
2015-10,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,4
2021-04,Replace Smartcard,Industry Authority Card,Change Customer Details,27
2021-04,Replace Smartcard,Photo Identification Card,Managers Approval,16
2021-04,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,89
2021-05,Replace Smartcard,Photo Identification Card,Lost,527
2021-05,Replace Smartcard,Industry Authority Card,Stolen,8
2021-05,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,8
2021-05,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,8
2021-04,Replace Smartcard,Marine Licence Ind Card,Lost,4
2021-05,Replace Smartcard,Photo Identification Card,Faulty,4
2021-05,Replace Smartcard,Marine Licence Ind Card,Lost,8
2021-05,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,1
2015-11,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1393
2015-11,Replace Smartcard,Photo Identification Card,Lost,503
2015-11,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,5
2015-11,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,5
2015-11,Replace Smartcard,Industry Authority Card,Destroyed,1
2015-12,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,128
2015-12,Replace Smartcard,Driver Licence Card,Managers Approval,371
2015-12,Replace Smartcard,Driver Licence Card,Destroyed,82
2021-06,Replace Smartcard,Driver Licence Card,Change Customer Details,2210
2021-06,Replace Smartcard,Photo Identification Card,Change Customer Details,208
2021-06,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,95
2021-06,Replace Smartcard,Industry Authority Card,Managers Approval,9
2021-07,Replace Smartcard,Driver Licence Card,Damaged,27
2021-07,Replace Smartcard,Photo Identification Card,Destroyed,16
2021-07,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,38
2021-07,Replace Smartcard,Marine Licence Ind Card,Managers Approval,2
2016-01,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,22
2016-01,Replace Smartcard,Driver Licence Card,Destroyed,95
2016-01,Replace Smartcard,Industry Authority Card,Stolen,10
2016-01,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,68
2016-01,Replace Smartcard,Photo Identification Card,Faulty,8
2016-01,Replace Smartcard,Marine Licence Ind Card,Faulty,1
2016-02,Replace Smartcard,Industry Authority Card,Stolen,7
2016-02,Replace Smartcard,Industry Authority Card,Condition Change,7
2016-02,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,6
2016-02,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2016-02,Replace Smartcard,Marine Licence Ind Card,Managers Approval,5
2016-02,Replace Smartcard,Photo Identification Card,Managers Approval,22
2016-02,Replace Smartcard,Industry Authority Card,Damaged,1
2016-02,Replace Smartcard,Marine Licence Ind Card,Condition Change,5
2016-01,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2021-08,Replace Smartcard,Photo Identification Card,Stolen,61
2021-08,Replace Smartcard,Driver Licence Card,Merged,7
2021-08,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,21
2021-08,Replace Smartcard,Industry Authority Card,Stolen,6
2021-09,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,59
2021-09,Replace Smartcard,Photo Identification Card,Expired,97
2021-09,Replace Smartcard,Industry Authority Card,Lost,23
2021-09,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,7
2021-09,Replace Smartcard,Industry Authority Card,Condition Change,3
2021-09,Replace Smartcard,Marine Licence Ind Card,Damaged,1
2016-03,Replace Smartcard,Photo Identification Card,Stolen,61
2016-03,Replace Smartcard,Driver Licence Card,Destroyed,78
2016-03,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,16
2016-03,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,12
2016-03,Replace Smartcard,Industry Authority Card,Managers Approval,10
2021-10,Replace Smartcard,Driver Licence Card,Stolen,1212
2021-10,Replace Smartcard,Photo Identification Card,Stolen,71
2021-10,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,22
2021-10,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2016-03,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2021-11,Replace Smartcard,Driver Licence Card,Lost,6586
2021-10,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2016-04,Replace Smartcard,Photo Identification Card,Stolen,73
2016-04,Replace Smartcard,Industry Authority Card,Stolen,12
2016-04,Replace Smartcard,Driver Licence Card,Damaged,62
2016-04,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,1
2016-04,Replace Smartcard,Photo Identification Card,Faulty,4
2021-11,Replace Smartcard,Driver Licence Card,Stolen,1358
2021-11,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,83
2021-11,Replace Smartcard,Photo Identification Card,Remove Gender From Smartcard,1
2021-11,Replace Smartcard,Driver Licence Card,Faulty,23
2021-11,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,93
2021-11,Replace Smartcard,Marine Licence Ind Card,Merged,2
2021-11,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,2
2021-11,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,4
2016-05,Replace Smartcard,Driver Licence Card,Stolen,1054
2016-05,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,17
2016-05,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,29
2016-05,Replace Smartcard,Photo Identification Card,Destroyed,10
2016-05,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,15
2016-05,Replace Smartcard,Marine Licence Ind Card,Lost,4
2016-05,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,20
2016-06,Replace Smartcard,Marine Licence Ind Card,Lost,6
2016-06,Replace Smartcard,Driver Licence Card,Stolen,1135
2016-06,Replace Smartcard,Driver Licence Card,Lost,4333
2016-06,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,71
2016-06,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,21
2021-12,Replace Smartcard,Driver Licence Card,Condition Change,3333
2021-12,Replace Smartcard,Driver Licence Card,Damaged,33
2021-12,Replace Smartcard,Photo Identification Card,Managers Approval,30
2022-01,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1449
2022-01,Replace Smartcard,Industry Authority Card,Lost,21
2022-01,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,31
2022-01,Replace Smartcard,Driver Licence Card,Faulty,22
2022-01,Replace Smartcard,Driver Licence Card,Merged,4
2022-01,Replace Smartcard,Industry Authority Card,Lost In Mail - Imu,19
2022-01,Replace Smartcard,Photo Identification Card,Managers Approval,13
2022-01,Replace Smartcard,Photo Identification Card,Destroyed,5
2021-12,Replace Smartcard,Photo Identification Card,Faulty,6
2022-01,Replace Smartcard,Photo Identification Card,Merged,2
2016-07,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,13
2016-07,Replace Smartcard,Photo Identification Card,Lost,523
2016-07,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,76
2016-07,Replace Smartcard,Photo Identification Card,Expired,4
2016-07,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,21
2016-08,Replace Smartcard,Driver Licence Card,Condition Change,3170
2022-02,Replace Smartcard,Driver Licence Card,Change Customer Details,1896
2022-02,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1461
2022-02,Replace Smartcard,Driver Licence Card,Destroyed,197
2022-02,Replace Smartcard,Photo Identification Card,Expired,149
2022-02,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2016-08,Replace Smartcard,Driver Licence Card,Lost,4526
2016-08,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,29
2016-08,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1479
2016-08,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,80
2016-07,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,4
2016-08,Replace Smartcard,Marine Licence Ind Card,Lost,9
2016-08,Replace Smartcard,Photo Identification Card,Destroyed,8
2016-08,Replace Smartcard,Photo Identification Card,Faulty,3
2016-08,Replace Smartcard,Driver Licence Card,Merged,1
2016-07,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,2
2022-03,Replace Smartcard,Photo Identification Card,Change Customer Details,208
2022-03,Replace Smartcard,Driver Licence Card,Stolen,1485
2022-03,Replace Smartcard,Photo Identification Card,Lost,618
2022-03,Replace Smartcard,Industry Authority Card,Change Customer Details,32
2022-03,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,49
2022-03,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2016-09,Replace Smartcard,Industry Authority Card,Destroyed,1
2016-09,Replace Smartcard,Photo Identification Card,Faulty,15
2016-09,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2016-10,Replace Smartcard,Industry Authority Card,Condition Change,10
2016-10,Replace Smartcard,Photo Identification Card,Destroyed,13
2016-10,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,5
2016-10,Replace Smartcard,Photo Identification Card,Merged,3
2016-11,Replace Smartcard,Driver Licence Card,Condition Change,3000
2016-11,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,8
2016-11,Replace Smartcard,Marine Licence Ind Card,Managers Approval,8
2016-11,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2016-11,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,1
2016-11,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2016-12,Replace Smartcard,Driver Licence Card,Lost,4034
2016-12,Replace Smartcard,Photo Identification Card,Change Customer Details,153
2016-12,Replace Smartcard,Photo Identification Card,Destroyed,10
2016-12,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,22
2016-12,Replace Smartcard,Industry Authority Card,Lost,26
2016-12,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,15
2016-12,Replace Smartcard,Marine Licence Ind Card,Lost,8
2017-01,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1434
2017-01,Replace Smartcard,Driver Licence Card,Stolen,1131
2017-01,Replace Smartcard,Driver Licence Card,Faulty,54
2017-01,Replace Smartcard,Photo Identification Card,Damaged,23
2017-01,Replace Smartcard,Marine Licence Ind Card,Managers Approval,11
2017-01,Replace Smartcard,Industry Authority Card,Condition Change,7
2017-02,Replace Smartcard,Driver Licence Card,Stolen,1051
2017-02,Replace Smartcard,Driver Licence Card,Lost,3699
2017-02,Replace Smartcard,Driver Licence Card,Condition Change,3111
2017-02,Replace Smartcard,Photo Identification Card,Change Customer Details,176
2017-01,Replace Smartcard,Marine Licence Ind Card,Condition Change,3
2017-02,Replace Smartcard,Photo Identification Card,Stolen,76
2017-02,Replace Smartcard,Marine Licence Ind Card,Managers Approval,11
2017-02,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,6
2017-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,28
2017-02,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2017-03,Replace Smartcard,Driver Licence Card,Destroyed,109
2017-03,Replace Smartcard,Driver Licence Card,Faulty,44
2017-03,Replace Smartcard,Photo Identification Card,Damaged,19
2017-03,Replace Smartcard,Industry Authority Card,Condition Change,3
2017-03,Replace Smartcard,Photo Identification Card,Expired,4
2017-04,Replace Smartcard,Driver Licence Card,Managers Approval,166
2017-05,Replace Smartcard,Driver Licence Card,Condition Change,3830
2017-05,Replace Smartcard,Driver Licence Card,Destroyed,98
2017-04,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,51
2017-05,Replace Smartcard,Industry Authority Card,Lost,36
2017-04,Replace Smartcard,Photo Identification Card,Destroyed,10
2017-05,Replace Smartcard,Driver Licence Card,Disaster Relief,8
2017-04,Replace Smartcard,Photo Identification Card,Faulty,9
2017-04,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,7
2017-04,Replace Smartcard,Photo Identification Card,Merged,2
2017-05,Replace Smartcard,Photo Identification Card,Expired,5
2017-05,Replace Smartcard,Photo Identification Card,Remove Gender From Smartcard,3
2017-06,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,47
2017-06,Replace Smartcard,Photo Identification Card,Damaged,34
2017-06,Replace Smartcard,Marine Licence Ind Card,Managers Approval,6
2017-06,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2017-06,Replace Smartcard,Driver Licence Card,Merged,1
2017-07,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,66
2017-07,Replace Smartcard,Marine Licence Ind Card,Managers Approval,9
2017-07,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,13
2017-07,Replace Smartcard,Photo Identification Card,Managers Approval,25
2017-08,Replace Smartcard,Driver Licence Card,Change Customer Details,2088
2017-08,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,118
2017-08,Replace Smartcard,Photo Identification Card,Lost,639
2017-08,Replace Smartcard,Marine Licence Ind Card,Condition Change,6
2017-08,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,48
2017-08,Replace Smartcard,Industry Authority Card,Change Customer Details,41
2017-08,Replace Smartcard,Marine Licence Ind Card,Lost,5
2017-09,Replace Smartcard,Driver Licence Card,Lost,4126
2017-09,Replace Smartcard,Driver Licence Card,Stolen,1015
2017-09,Replace Smartcard,Industry Authority Card,Change Customer Details,32
2017-09,Replace Smartcard,Industry Authority Card,Managers Approval,13
2017-09,Replace Smartcard,Photo Identification Card,Merged,1
2017-10,Replace Smartcard,Industry Authority Card,Change Customer Details,36
2017-10,Replace Smartcard,Driver Licence Card,Faulty,39
2017-10,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,8
2017-11,Replace Smartcard,Driver Licence Card,Condition Change,3637
2017-10,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2017-11,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,41
2017-11,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,1
2017-12,Replace Smartcard,Photo Identification Card,Lost,434
2017-12,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,23
2017-12,Replace Smartcard,Photo Identification Card,Managers Approval,18
2017-12,Replace Smartcard,Driver Licence Card,Faulty,22
2017-12,Replace Smartcard,Photo Identification Card,Faulty,2
2018-01,Replace Smartcard,Driver Licence Card,Lost,4833
2018-01,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,9
2018-01,Replace Smartcard,Photo Identification Card,Damaged,33
2018-01,Replace Smartcard,Photo Identification Card,Change Customer Details,164
2018-01,Replace Smartcard,Marine Licence Ind Card,Condition Change,2
2018-01,Replace Smartcard,Photo Identification Card,Remove Gender From Smartcard,3
2018-01,Replace Smartcard,Industry Authority Card,Destroyed,1
2018-02,Replace Smartcard,Driver Licence Card,Destroyed,92
2018-02,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,84
2018-02,Replace Smartcard,Industry Authority Card,Change Customer Details,33
2018-02,Replace Smartcard,Industry Authority Card,Lost,29
2018-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,32
2018-02,Replace Smartcard,Industry Authority Card,Stolen,12
2018-03,Replace Smartcard,Driver Licence Card,Change Customer Details,1742
2018-03,Replace Smartcard,Photo Identification Card,Lost,506
2018-03,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,65
2018-03,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,97
2018-03,Replace Smartcard,Industry Authority Card,Managers Approval,13
2018-03,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,9
2018-04,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,41
2018-04,Replace Smartcard,Driver Licence Card,Damaged,27
2018-04,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2018-04,Replace Smartcard,Industry Authority Card,Faulty,1
2018-04,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,1
2018-05,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,1
2018-05,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,20
2018-06,Replace Smartcard,Photo Identification Card,Change Customer Details,183
2018-06,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,110
2018-06,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,7
2018-06,Replace Smartcard,Photo Identification Card,Expired,5
2018-06,Replace Smartcard,Industry Authority Card,Condition Change,5
2018-07,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,49
2018-07,Replace Smartcard,Marine Licence Ind Card,Managers Approval,7
2018-07,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,29
2018-07,Replace Smartcard,Photo Identification Card,Managers Approval,31
2018-07,Replace Smartcard,Photo Identification Card,Stolen,89
2018-07,Replace Smartcard,Photo Identification Card,Expired,9
2018-07,Replace Smartcard,Marine Licence Ind Card,Condition Change,1
2018-07,Replace Smartcard,Marine Licence Ind Card,Lost,11
2018-08,Replace Smartcard,Industry Authority Card,Condition Change,10
2018-08,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,54
2018-08,Replace Smartcard,Industry Authority Card,Destroyed,1
2018-08,Replace Smartcard,Industry Authority Card,Lost,24
2018-08,Replace Smartcard,Photo Identification Card,Expired,7
2018-08,Replace Smartcard,Photo Identification Card,Remove Gender From Smartcard,1
2018-09,Replace Smartcard,Driver Licence Card,Change Customer Details,2068
2018-09,Replace Smartcard,Photo Identification Card,Damaged,29
2018-09,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,17
2018-09,Replace Smartcard,Photo Identification Card,Stolen,61
2018-09,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,2
2018-09,Replace Smartcard,Industry Authority Card,Damaged,1
2018-10,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,31
2018-10,Replace Smartcard,Photo Identification Card,Damaged,23
2018-10,Replace Smartcard,Marine Licence Ind Card,Condition Change,3
2018-10,Replace Smartcard,Industry Authority Card,Facial Image Is Not A True Likeness,2
2018-11,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1487
2018-11,Replace Smartcard,Driver Licence Card,Condition Change,3476
2018-11,Replace Smartcard,Photo Identification Card,Expired,11
2018-11,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,14
2018-11,Replace Smartcard,Marine Licence Ind Card,Stolen,1
2018-12,Replace Smartcard,Driver Licence Card,Lost,4522
2018-12,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1145
2018-12,Replace Smartcard,Driver Licence Card,Change Customer Details,1615
2018-12,Replace Smartcard,Photo Identification Card,Managers Approval,14
2018-12,Replace Smartcard,Industry Authority Card,Change Customer Details,18
2018-12,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,16
2018-12,Replace Smartcard,Driver Licence Card,Merged,4
2019-01,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,49
2019-01,Replace Smartcard,Photo Identification Card,Stolen,77
2019-01,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,5
2019-01,Replace Smartcard,Marine Licence Ind Card,Lost In Mail - Imu,5
2019-01,Replace Smartcard,Marine Licence Ind Card,Destroyed,1
2019-02,Replace Smartcard,Driver Licence Card,Managers Approval,210
2019-02,Replace Smartcard,Industry Authority Card,Da/dgd Smartcard Replacement Fee Exempt,32
2019-02,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,63
2019-02,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,90
2019-02,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,30
2019-02,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,8
2019-02,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,13
2019-02,Replace Smartcard,Driver Licence Card,Merged,1
2019-04,Replace Smartcard,Industry Authority Card,Condition Change,3
2019-04,Replace Smartcard,Marine Licence Ind Card,Expired,2
2019-08,Replace Smartcard,Marine Licence Ind Card,Facial Image Is Not A True Likeness,1
2020-01,Replace Smartcard,Driver Licence Card,Stolen,1357
2020-01,Replace Smartcard,Marine Licence Ind Card,Lost,13
2020-01,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,83
2020-01,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,7
2020-03,Replace Smartcard,Marine Licence Ind Card,Facial Image Is Not A True Likeness,1
2020-08,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,3
2020-12,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2021-04,Replace Smartcard,Industry Authority Card,Product Exists Othr Surrend Void Cancel,1
2021-08,Replace Smartcard,Industry Authority Card,Damaged,1
2021-12,Replace Smartcard,Industry Authority Card,Stolen,4
2021-12,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2019-03,Replace Smartcard,Driver Licence Card,Change Customer Details,1819
2019-03,Replace Smartcard,Driver Licence Card,Managers Approval,204
2019-04,Replace Smartcard,Photo Identification Card,Destroyed,9
2019-04,Replace Smartcard,Photo Identification Card,Managers Approval,24
2019-04,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,29
2019-05,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,15
2019-05,Replace Smartcard,Marine Licence Ind Card,Change Customer Details,2
2019-05,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,2
2019-06,Replace Smartcard,Photo Identification Card,Lost In Mail - Imu,55
2019-06,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,25
2019-06,Replace Smartcard,Marine Licence Ind Card,Marine Licence Transition,13
2019-06,Replace Smartcard,Photo Identification Card,Faulty,5
2019-06,Replace Smartcard,Driver Licence Card,Transition Laminate To Smartcard,1
2019-07,Replace Smartcard,Photo Identification Card,Stolen,109
2019-07,Replace Smartcard,Driver Licence Card,Facial Image Is Not A True Likeness,31
2019-07,Replace Smartcard,Marine Licence Ind Card,Product Exists Othr Surrend Void Cancel,5
2019-08,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1536
2019-08,Replace Smartcard,Photo Identification Card,Transition Laminate To Smartcard,47
2019-09,Replace Smartcard,Driver Licence Card,Lost In Mail - Imu,1477
2019-09,Replace Smartcard,Driver Licence Card,Condition Change,3565
2019-09,Replace Smartcard,Driver Licence Card,Court Order Issued X3 Or X4 Condition,87
2019-08,Replace Smartcard,Photo Identification Card,Destroyed,20
2019-08,Replace Smartcard,Industry Authority Card,Lost,36
2019-09,Replace Smartcard,Driver Licence Card,Product Exists Othr Surrend Void Cancel,3
2019-09,Replace Smartcard,Photo Identification Card,Facial Image Is Not A True Likeness,16
2019-08,Replace Smartcard,Driver Licence Card,Damaged,39
2019-08,Replace Smartcard,Photo Identification Card,Remove Gender From Smartcard,1
2019-09,Replace Smartcard,Driver Licence Card,Faulty,12
